"Reference","Value","Footprint","Qty","DIGIKEY","PARTNO","MOUSER"
"C11,C45,H1,H2,R33,R34","C,DNP,MountingHole","Capacitor_SMD:C_0805_2012Metric,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,MountingHole:MountingHole_3.2mm_M3_ISO14580,Resistor_SMD:R_0805_2012Metric","6","","",""
"C1,C4,C5,C6,C7,C8,C9,C10,C14,C15,C17,C18,C19,C20,C21,C23,C24,C25,C26,C28,C29,C31,C33,C36,C37,C38,C39","100nF","Capacitor_SMD:C_0805_2012Metric","27","1276-6840-1-ND ","CL21B104KCFNNNE",""
"C2,C3,C13,C16","1uF","Capacitor_SMD:C_0805_2012Metric","4","1276-6469-1-ND","CL21B105KAFNNNG",""
"C12","100p","Capacitor_SMD:C_0805_2012Metric","1","399-C0805C101J5GACTUCT-ND","C0805C101J5GACTU",""
"C41","10nF","Capacitor_SMD:C_0805_2012Metric","1","399-C0805C103K5RACTUCT-ND","C0805C103K5RACTU",""
"C30","10uF","Capacitor_SMD:C_1210_3225Metric","1","1276-3387-1-ND","CL32B106KBJNNNE",""
"C43,C44","220uF","Capacitor_SMD:CP_Elec_10x10.5","2","PCE3812CT-ND","EEE-FK1H221P",""
"C32","22uF","Capacitor_SMD:CP_Elec_4x5.8","1","493-14929-1-ND","UCM1V220MCL1GS",""
"C40,C42","100uF","Capacitor_SMD:CP_Elec_8x6.5","2","1189-35PJV100M6.3X8CT-ND","35PJV100M6.3X8",""
"J1,J2,J3,J4,J7","Input A,Input B / Setpoint,Monitor,Output,select 1","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","5","ARF1065-ND","31-5431",""
"RV3","5k","Custom_Footprints:Bourns Circular Pots","1","3590S-2-502L-ND","3590S-2-502L",""
"RV4","10k","Custom_Footprints:Bourns Circular Pots","1","3590S-2-103L-ND","3590S-2-103L",""
"RV5,RV8","100k","Custom_Footprints:Bourns Circular Pots","2","3590P-2-104L-ND","3590P-2-104L",""
"D3","LED_Dual_KKA","Custom_Footprints:GR LED","1","160-2033-1-ND","LTST-S326KGJRKT",""
"SW5","EG6100-ND","Custom_Footprints:Right Angle 3PDT Switch","1","EG6100-ND","1004P6T1B4M7RE",""
"SW1","SW_SPDT","Custom_Footprints:Right Angle SPDT Switch","1","EG2362-ND","100SP1T2B4M6QE",""
"U22","4x Comparator","Custom_Footprints:SOIC-14","1","559-UPC177G2(20)-E2-ACT-ND","UPC177G2(20)-E2-A","968-UPC177G220-E2A"
"SW2,SW3","SW_SPDT","Custom_Footprints:TDD DIP Switch","2","CKN10546CT-ND","TDD01H0SB1R",""
"U8,U13","BUF634A","lib:TI_SO-PowerPAD-8_ThermalVias","2","296-BUF634AIDDARCT-ND","BUF634AIDDAR",""
"U11","PC817","Package_DIP:DIP-4_W7.62mm","1","ISP817A","ISP817A",""
"U3,U4","INA849","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2","296-INA849DRCT-ND","INA849DRâ€Ž ",""
"U5,U7,U10,U12,U18,U20,U21","OPA189","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","7","296-47522-ND","OPA189ID",""
"U14,U17","TMUX6123","Package_SO:VSSOP-10_3x3mm_P0.5mm","2","296-53449-1-ND","TMUX6123DGSR",""
"Q1,Q2","2N7002E","Package_TO_SOT_SMD:SOT-23","2","1727-4789-1-ND","2N7002BK,215",""
"U1,U2","LM4040DBZ-5","Package_TO_SOT_SMD:SOT-23","2","LM4040B50FTADICT-ND","LM4040B50FTA",""
"U9","LM317_TO-252","Package_TO_SOT_SMD:TO-252-2","1","497-1574-1-ND","LM317MDT-TR",""
"U19","L7815","Package_TO_SOT_SMD:TO-252-3_TabPin2","1","MC7815BDTRKGOSCT-ND","MC7815BDTRKG",""
"U23","L7915","Package_TO_SOT_SMD:TO-252-3_TabPin2","1","MC7915ACD2TGOS-ND","MC7915ACD2TG",""
"D1,D2","D","Package_TO_SOT_SMD:TSOT-23","2","4004-SSTPAD5SOT-233LROHSCT-ND","SSTPAD5 SOT-23 3L ROHS",""
"RV1","100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1","118-PV36W104C01B00-ND","PV36W104C01B00",""
"RV2","2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1","118-PV36W202C01B00-ND","PV36W202C01B00",""
"R1,R2,R3,R4,R5,R6,R7,R8,R10,R19,R20,R22,R27,R29,R30,R31,R38,R40","10k","Resistor_SMD:R_0805_2012Metric","18","2019-RN73H2ATTD1002B25CT-ND","RN73H2ATTD1002B25",""
"R9,R17,R18,R21,R24,R26,R28,R41","1k","Resistor_SMD:R_0805_2012Metric","8","RG20P1.0KBCT-ND","RG2012P-102-B-T5",""
"R11,R16","100k","Resistor_SMD:R_0805_2012Metric","2","P100KDACT-ND","ERA-6AEB104V",""
"R13","5k","Resistor_SMD:R_0805_2012Metric","1","118-CRT0805-BY-5001EASCT-ND","CRT0805-BY-5001EAS",""
"R15,R23","50","Resistor_SMD:R_0805_2012Metric","2","541-CRCW080550R0FKTACT-ND","CRCW080550R0FKTA",""
"R25","330","Resistor_SMD:R_0805_2012Metric","1","RMCF0805FT330RCT-ND","RMCF0805FT330R",""
"R32,R39","100","Resistor_SMD:R_0805_2012Metric","2","P16057CT-ND","ERJ-P06F1000V",""
"R35,R36","3.3k","Resistor_SMD:R_0805_2012Metric","2","311-3.30KCRCT-ND","RC0805FR-073K3L",""
"R37","180","Resistor_SMD:R_0805_2012Metric","1","CR0805-FX-1800ELFCT-ND","CR0805-FX-1800ELF",""
"R43,R46","11k","Resistor_SMD:R_0805_2012Metric","2","A126334CT-ND","CRG0805F11K",""
"R44","1M","Resistor_SMD:R_0805_2012Metric","1","YAG3766CT-ND","AC0805JR-071ML",""
"J8","Screw_Terminal_01x03","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal","1","732-2748-ND","691214110003",""
